ID,Data,Produto,Categoria,Quantidade,Preço
1,2023-11-05 13:24:43,Fita Veda Rosca,Vedação,36,3.39
2,2023-07-13 11:59:16,Serrote,Ferramentas Manuais,4,29.59
3,2023-11-02 09:16:53,Trinco,Ferragens,42,7.39
4,2023-08-31 14:04:02,Removedor de Tinta,Pintura,35,19.59
5,2023-01-22 13:59:16,Prego,Ferragens,22,1.95
6,2023-06-25 03:51:30,Lixa,Pintura,32,3.89
7,2023-06-24 20:00:15,Tinta Spray,Pintura,41,39.89
8,2023-09-23 22:30:02,Pulverizador,Jardinagem,34,79.59
9,2023-09-23 00:23:46,Botas,Segurança,16,79.79
10,2023-11-09 18:23:22,Botas,Segurança,9,79.79
11,2023-01-22 11:27:26,Interruptor,Elétricos,47,9.95
12,2023-07-29 20:34:45,Cortador de Azulejo,Ferramentas Elétricas,46,119.89
13,2023-03-10 22:03:52,Condulete,Elétricos,12,7.89
14,2023-01-27 05:56:51,Adesivo,Fixação,24,4.39
15,2023-02-21 22:25:45,Máscara,Segurança,46,9.89
16,2023-05-31 14:53:07,Telha,Construção,6,9.95
17,2023-10-28 15:49:33,Luva,Hidráulicos,28,7.89
18,2023-10-25 19:53:22,Tomada,Elétricos,39,3.99
19,2023-12-27 18:31:28,Martelo,Ferramentas Manuais,43,24.89
20,2023-05-10 13:26:16,Silicone,Fixação,4,11.89
21,2023-09-12 08:08:39,Joelho,Hidráulicos,33,14.79
22,2023-06-15 18:36:18,Chave de Impacto,Ferramentas Elétricas,35,179.29
23,2023-03-29 16:57:29,Fita Dupla Face,Fixação,11,4.39
24,2023-03-18 09:34:47,Pulverizador,Jardinagem,39,79.59
25,2023-03-23 05:33:33,Puxador,Ferragens,27,11.89
26,2023-02-20 03:37:28,Gancho,Segurança,22,14.89
27,2023-02-27 02:10:05,PU,Fixação,25,9.95
28,2023-01-26 05:58:09,Fita Isolante,Vedação,9,2.49
29,2023-06-10 04:57:54,Semente,Jardinagem,12,9.95
30,2023-05-17 18:08:40,Fita Crepe,Fixação,45,2.95
31,2023-05-27 21:28:15,Rastelo,Jardinagem,48,34.49
32,2023-08-18 07:04:41,Fita Dupla Face,Fixação,17,4.39
33,2023-03-13 00:56:35,Resina,Pintura,17,49.99
34,2023-01-04 03:02:43,Grama m2,Jardinagem,31,14.95
35,2023-03-30 19:23:52,Interruptor,Elétricos,4,9.95
36,2023-05-29 15:18:06,Pulverizador,Jardinagem,7,79.59
37,2023-05-25 06:28:16,Semente,Jardinagem,16,9.95
38,2023-01-31 00:05:59,Conexão,Hidráulicos,25,4.89
39,2023-09-26 03:09:25,Resina,Pintura,3,49.99
40,2023-08-09 13:56:05,Fita Veda Rosca,Vedação,42,3.39
41,2023-05-09 12:59:38,Martelo,Ferramentas Manuais,1,24.89
42,2023-07-11 09:23:41,Furadeira,Ferramentas Elétricas,44,149.49
43,2023-08-03 07:04:36,Prego,Ferragens,36,1.95
44,2023-01-21 13:05:52,Escada,Segurança,11,199.49
45,2023-04-01 13:58:22,Colete,Segurança,49,89.99
46,2023-03-21 21:16:59,Corda,Segurança,26,59.59
47,2023-07-31 01:58:32,Furadeira,Ferramentas Elétricas,3,149.49
48,2023-07-04 02:41:22,Silicone,Fixação,46,11.89
49,2023-01-14 10:59:53,Prego,Ferragens,25,1.95
50,2023-04-27 17:18:35,Máscara,Segurança,40,9.89
51,2023-09-26 02:20:54,Rolo,Pintura,29,14.89
52,2023-02-16 11:11:50,Luva,Hidráulicos,24,7.89
53,2023-02-11 23:57:52,Ralo,Hidráulicos,25,11.89
54,2023-07-11 20:19:10,Adesivo,Fixação,8,4.39
55,2023-05-04 23:52:43,Torneira,Hidráulicos,8,34.89
56,2023-01-16 05:39:05,Torneira,Hidráulicos,17,34.89
57,2023-05-18 02:09:45,Condulete,Elétricos,42,7.89
58,2023-09-19 20:08:17,Conexão,Hidráulicos,28,4.89
59,2023-11-29 20:07:32,Verniz,Pintura,12,24.79
60,2023-12-09 23:45:07,Cimento,Construção,35,24.95
61,2023-05-12 22:07:06,PU,Fixação,38,9.95
62,2023-12-22 12:26:43,Martelo,Ferramentas Manuais,12,24.89
63,2023-02-27 17:54:59,Alicate,Ferramentas Manuais,41,19.79
64,2023-12-04 21:11:20,Telha,Construção,29,9.95
65,2023-03-26 11:40:20,Rastelo,Jardinagem,15,34.49
66,2023-08-17 22:36:39,Chave de Fenda,Ferramentas Manuais,3,10.39
67,2023-07-27 02:21:40,Disjuntor,Elétricos,14,34.99
68,2023-04-20 11:11:17,Cola,Fixação,13,5.89
69,2023-10-21 06:40:44,Dobradiça,Ferragens,28,4.39
70,2023-05-04 01:27:39,Vassoura,Jardinagem,40,24.79
71,2023-12-15 08:53:37,Parafuso,Ferragens,23,1.39
72,2023-06-01 04:17:17,Ralo,Hidráulicos,20,11.89
73,2023-08-05 01:10:58,Cola,Fixação,1,5.89
74,2023-03-11 20:01:22,Caixa de Passagem,Elétricos,6,19.79
75,2023-03-24 05:43:44,Fita Crepe,Fixação,37,2.95
76,2023-04-18 04:01:21,Semente,Jardinagem,1,9.95
77,2023-02-05 00:38:13,Tubo Cobre,Hidráulicos,4,24.95
78,2023-12-22 01:03:25,Óculos de Proteção,Segurança,18,19.99
79,2023-11-25 23:52:07,Lixa,Pintura,46,3.89
80,2023-01-28 00:49:15,Luva,Hidráulicos,13,7.89
81,2023-03-18 13:33:14,Colete,Segurança,6,89.99
82,2023-11-29 18:56:24,Esmerilhadeira,Ferramentas Elétricas,21,199.69
83,2023-11-30 15:20:54,Cortador de Azulejo,Ferramentas Elétricas,42,119.89
84,2023-03-17 08:52:10,PU,Fixação,23,9.95
85,2023-12-11 06:26:11,Grama m2,Jardinagem,49,14.95
86,2023-03-27 02:05:46,Talabarte,Segurança,41,34.89
87,2023-08-02 06:02:15,Grama m2,Jardinagem,8,14.95
88,2023-11-24 21:50:33,Serra Elétrica,Ferramentas Elétricas,12,249.79
89,2023-02-06 12:25:48,Esmerilhadeira,Ferramentas Elétricas,21,199.69
90,2023-05-02 17:37:42,Condulete,Elétricos,34,7.89
91,2023-02-28 16:30:53,Chave de Fenda,Ferramentas Manuais,4,10.39
92,2023-06-26 12:40:41,Botas,Segurança,36,79.79
93,2023-02-15 19:45:11,Adesivo,Fixação,46,4.39
94,2023-07-14 12:39:36,Verniz,Pintura,37,24.79
95,2023-02-20 17:54:31,Tinta Latex,Pintura,9,59.89
96,2023-03-31 18:36:49,Prego,Ferragens,30,1.95
97,2023-07-10 13:41:47,Torneira,Hidráulicos,37,34.89
98,2023-11-03 13:13:02,Serrote,Ferramentas Manuais,3,29.59
99,2023-07-15 03:20:12,Prego,Ferragens,20,1.95
100,2023-09-17 12:37:56,Tomada,Elétricos,11,3.99
101,2023-04-14 15:53:01,Pulverizador,Jardinagem,11,79.59
102,2023-11-12 00:20:47,Tomada,Elétricos,39,3.99
103,2023-07-30 09:54:25,Condulete,Elétricos,14,7.89
104,2023-03-12 07:39:30,Caixa de Passagem,Elétricos,29,19.79
105,2023-06-04 10:28:27,Telha,Construção,40,9.95
106,2023-04-23 09:36:21,Lixa,Pintura,33,3.89
107,2023-04-11 23:56:17,Fita Veda Rosca,Vedação,6,3.39
108,2023-09-18 11:54:58,Puxador,Ferragens,12,11.89
109,2023-07-14 02:16:20,Dobradiça,Ferragens,38,4.39
110,2023-09-08 17:24:07,Corda,Segurança,9,59.59
111,2023-10-12 20:37:03,Porca,Ferragens,19,0.45
112,2023-01-09 06:54:24,Lixa,Pintura,22,3.89
113,2023-07-08 17:29:35,Dobradiça,Ferragens,14,4.39
114,2023-06-01 10:57:25,Capacete,Segurança,45,44.59
115,2023-07-30 00:50:22,Canaleta,Elétricos,6,14.59
116,2023-11-13 16:11:24,Rastelo,Jardinagem,47,34.49
117,2023-10-27 16:19:39,Luva,Segurança,15,7.89
118,2023-03-19 10:30:33,Esmerilhadeira,Ferramentas Elétricas,24,199.69
119,2023-01-09 17:57:37,Disjuntor,Elétricos,18,34.99
120,2023-03-10 02:23:33,Rastelo,Jardinagem,48,34.49
121,2023-08-06 22:55:03,Tinta Latex,Pintura,35,59.89
122,2023-03-13 22:07:29,Trena,Ferramentas Manuais,2,34.99
123,2023-09-18 18:41:05,Botas,Segurança,44,79.79
124,2023-04-03 06:04:21,Adesivo,Fixação,8,4.39
125,2023-12-18 01:52:43,Esmerilhadeira,Ferramentas Elétricas,33,199.69
126,2023-05-22 17:18:35,Escada,Segurança,24,199.49
127,2023-02-26 18:00:05,Lixa,Pintura,41,3.89
128,2023-10-03 21:03:51,Tinta Latex,Pintura,30,59.89
129,2023-10-02 18:22:56,Talabarte,Segurança,21,34.89
130,2023-02-09 15:59:53,Mangueira,Jardinagem,27,49.99
131,2023-10-11 20:16:01,Óculos de Proteção,Segurança,6,19.99
132,2023-12-02 11:41:41,Tijolo,Construção,46,0.75
133,2023-09-06 18:53:47,Prego,Ferragens,40,1.95
134,2023-01-13 16:15:46,Chave de Fenda,Ferramentas Manuais,29,10.39
135,2023-04-06 21:54:03,Chave de Impacto,Ferramentas Elétricas,24,179.29
136,2023-10-29 21:55:03,Cola,Fixação,7,5.89
137,2023-06-29 09:07:46,Óculos de Proteção,Segurança,34,19.99
138,2023-09-05 02:13:24,Fita Veda Rosca,Vedação,16,3.39
139,2023-11-09 05:15:58,Bloco de Concreto,Construção,45,14.89
140,2023-10-09 01:14:49,Parafuso,Ferragens,43,1.39
141,2023-03-10 07:49:46,Gancho,Segurança,37,14.89
142,2023-05-27 02:39:35,Máscara,Segurança,23,9.89
143,2023-09-02 01:36:48,Grama m2,Jardinagem,15,14.95
144,2023-01-04 15:37:32,Botas,Segurança,44,79.79
145,2023-05-15 22:38:09,Tijolo,Construção,11,0.75
146,2023-10-05 23:51:38,Removedor de Tinta,Pintura,40,19.59
147,2023-07-28 18:16:00,Registro,Hidráulicos,34,19.99
148,2023-12-08 14:02:26,Disjuntor,Elétricos,19,34.99
149,2023-04-23 17:26:38,Fita Antichamas,Vedação,30,7.89
150,2023-01-18 22:03:39,Serra Elétrica,Ferramentas Elétricas,22,249.79
151,2023-12-09 15:53:04,Rastelo,Jardinagem,41,34.49
152,2023-12-22 01:22:03,Colete,Segurança,11,89.99
153,2023-05-01 10:07:33,Pulverizador,Jardinagem,40,79.59
154,2023-02-14 00:15:02,Disjuntor,Elétricos,6,34.99
155,2023-03-18 13:34:14,Condulete,Elétricos,45,7.89
156,2023-10-20 14:35:35,Disjuntor,Elétricos,41,34.99
157,2023-01-21 10:36:24,Tinta Latex,Pintura,44,59.89
158,2023-12-28 05:50:12,Escada,Segurança,42,199.49
159,2023-11-05 23:04:10,Tinta Latex,Pintura,42,59.89
160,2023-11-14 23:39:37,Registro,Hidráulicos,11,19.99
161,2023-12-15 21:13:44,Fechadura,Ferragens,37,29.89
162,2023-12-07 05:36:44,Mangueira,Jardinagem,1,49.99
163,2023-12-14 09:33:07,Colete,Segurança,28,89.99
164,2023-03-01 13:01:42,Porca,Ferragens,23,0.45
165,2023-07-12 16:34:12,Joelho,Hidráulicos,15,14.79
166,2023-08-18 00:20:58,Pulverizador,Jardinagem,48,79.59
167,2023-02-26 15:49:19,Ralo,Hidráulicos,47,11.89
168,2023-12-02 01:11:32,Conexão,Hidráulicos,48,4.89
169,2023-09-19 06:19:28,Disjuntor,Elétricos,35,34.99
170,2023-09-01 10:23:52,Serra Elétrica,Ferramentas Elétricas,11,249.79
171,2023-10-27 15:30:20,Colete,Segurança,3,89.99
172,2023-05-07 07:52:55,Conexão,Hidráulicos,41,4.89
173,2023-04-02 15:43:01,Fita Antichamas,Vedação,39,7.89
174,2023-05-12 04:46:12,Vassoura,Jardinagem,8,24.79
175,2023-05-05 14:47:58,Mangueira,Jardinagem,32,49.99
176,2023-08-20 20:18:05,Furadeira,Ferramentas Elétricas,4,149.49
177,2023-06-22 02:18:37,Parafuso,Ferragens,48,1.39
178,2023-01-22 03:59:54,Lâmpada,Elétricos,45,4.39
179,2023-04-08 16:33:25,Areia,Construção,10,49.79
180,2023-09-30 10:54:20,Telha,Construção,15,9.95
181,2023-12-27 19:51:18,Tubo PVC,Hidráulicos,37,9.89
182,2023-07-20 18:54:59,Alicate,Ferramentas Manuais,40,19.79
183,2023-07-21 14:39:54,Colete,Segurança,24,89.99
184,2023-09-25 16:00:01,Trinco,Ferragens,5,7.39
185,2023-08-28 20:05:00,Escada,Segurança,40,199.49
186,2023-11-03 23:21:03,Tinta Spray,Pintura,30,39.89
187,2023-12-20 20:47:56,Puxador,Ferragens,25,11.89
188,2023-01-21 19:03:22,Colete,Segurança,11,89.99
189,2023-02-02 00:41:54,Cortador de Azulejo,Ferramentas Elétricas,3,119.89
190,2023-05-12 18:12:48,Serrote,Ferramentas Manuais,37,29.59
191,2023-04-15 05:32:05,Talabarte,Segurança,49,34.89
192,2023-11-22 12:14:08,Cola,Fixação,29,5.89
193,2023-04-29 06:20:49,Dobradiça,Ferragens,46,4.39
194,2023-01-03 17:23:11,Furadeira,Ferramentas Elétricas,23,149.49
195,2023-05-18 10:11:39,Luva,Hidráulicos,43,7.89
196,2023-04-01 19:32:26,Corda,Segurança,34,59.59
197,2023-10-09 17:57:10,Interruptor,Elétricos,1,9.95
198,2023-08-29 03:22:44,Fita Crepe,Fixação,8,2.95
199,2023-06-09 00:03:15,Fita Veda Rosca,Vedação,11,3.39
200,2023-03-12 10:29:51,Rastelo,Jardinagem,23,34.49
201,2023-04-17 08:44:29,Prego,Ferragens,30,1.95
202,2023-02-16 05:39:30,Adesivo,Fixação,4,4.39
203,2023-05-31 17:16:04,Grama m2,Jardinagem,45,14.95
204,2023-02-04 19:58:52,Cortador de Azulejo,Ferramentas Elétricas,2,119.89
205,2023-06-02 20:25:45,Capacete,Segurança,30,44.59
206,2023-08-30 17:09:31,Óculos de Proteção,Segurança,21,19.99
207,2023-03-14 05:03:01,Martelo,Ferramentas Manuais,23,24.89
208,2023-09-27 13:40:54,Conexão,Hidráulicos,15,4.89
209,2023-04-05 13:36:32,Chave de Impacto,Ferramentas Elétricas,15,179.29
210,2023-10-17 08:13:07,PU,Fixação,19,9.95
211,2023-01-05 08:44:57,Colete,Segurança,1,89.99
212,2023-04-22 20:08:02,Gancho,Segurança,32,14.89
213,2023-11-09 07:47:19,Tubo PVC,Hidráulicos,12,9.89
214,2023-06-30 00:43:05,Trena,Ferramentas Manuais,40,34.99
215,2023-09-26 08:13:11,Alicate,Ferramentas Manuais,28,19.79
216,2023-04-18 05:41:57,Botas,Segurança,22,79.79
217,2023-03-21 16:23:18,Tubo Cobre,Hidráulicos,9,24.95
218,2023-11-14 06:31:59,Conexão,Hidráulicos,22,4.89
219,2023-02-13 14:19:41,Capacete,Segurança,16,44.59
220,2023-01-19 15:55:48,Tomada,Elétricos,18,3.99
221,2023-11-11 05:08:56,Rastelo,Jardinagem,30,34.49
222,2023-08-24 15:41:31,Condulete,Elétricos,23,7.89
223,2023-03-04 00:02:31,Luva,Segurança,41,7.89
224,2023-10-16 10:29:33,Trena,Ferramentas Manuais,6,34.99
225,2023-10-31 16:30:25,Resina,Pintura,7,49.99
226,2023-08-26 17:42:08,Dobradiça,Ferragens,43,4.39
227,2023-09-02 14:06:04,Cimento,Construção,25,24.95
228,2023-11-25 22:26:44,Silicone,Fixação,26,11.89
229,2023-03-10 13:28:45,Ralo,Hidráulicos,23,11.89
230,2023-03-16 23:24:37,Pincel,Pintura,47,4.89
231,2023-04-04 08:47:48,Máscara,Segurança,47,9.89
232,2023-10-10 16:47:33,Chave de Fenda,Ferramentas Manuais,26,10.39
233,2023-07-19 17:37:53,Lâmpada,Elétricos,37,4.39
234,2023-10-25 23:22:52,Canaleta,Elétricos,3,14.59
235,2023-07-23 01:33:15,Gancho,Segurança,3,14.89
236,2023-10-30 13:43:36,Gancho,Segurança,10,14.89
237,2023-01-08 08:01:03,Cortador de Azulejo,Ferramentas Elétricas,22,119.89
238,2023-08-04 02:56:17,Fita Dupla Face,Fixação,46,4.39
239,2023-04-07 17:04:29,Parafuso,Ferragens,39,1.39
240,2023-04-14 15:29:13,Canaleta,Elétricos,20,14.59
241,2023-10-30 02:12:03,Mangueira,Jardinagem,6,49.99
242,2023-02-15 04:21:10,Fita Veda Rosca,Vedação,22,3.39
243,2023-04-21 16:41:08,Fita Isolante,Vedação,44,2.49
244,2023-07-15 19:10:32,Lixa,Pintura,32,3.89
245,2023-01-18 23:40:49,Trinco,Ferragens,26,7.39
246,2023-09-21 23:10:29,Válvula,Hidráulicos,16,19.59
247,2023-03-15 13:51:56,Parafuso,Ferragens,19,1.39
248,2023-07-07 22:49:21,Tinta Spray,Pintura,4,39.89
249,2023-04-26 10:56:56,Martelo,Ferramentas Manuais,27,24.89
250,2023-07-26 16:08:06,Tinta Spray,Pintura,37,39.89
251,2023-11-01 04:04:08,Tubo PVC,Hidráulicos,35,9.89
252,2023-11-07 09:47:17,Semente,Jardinagem,38,9.95
253,2023-10-31 04:18:57,Torneira,Hidráulicos,4,34.89
254,2023-04-15 23:59:14,Fita Dupla Face,Fixação,25,4.39
255,2023-01-31 00:16:55,Verniz,Pintura,34,24.79
256,2023-06-16 21:24:07,Bloco de Concreto,Construção,12,14.89
257,2023-11-27 23:22:34,Fita Dupla Face,Fixação,12,4.39
258,2023-01-21 15:57:34,Chave Philips,Ferramentas Manuais,48,14.95
259,2023-06-19 04:07:52,Porca,Ferragens,30,0.45
260,2023-05-30 20:19:07,Máscara,Segurança,7,9.89
261,2023-07-21 03:45:49,Martelo,Ferramentas Manuais,35,24.89
262,2023-01-23 21:03:10,Serrote,Ferramentas Manuais,47,29.59
263,2023-11-28 03:20:12,Silicone,Fixação,44,11.89
264,2023-09-10 18:19:12,Cimento,Construção,31,24.95
265,2023-01-20 03:00:38,Removedor de Tinta,Pintura,46,19.59
266,2023-05-09 05:01:19,Verniz,Pintura,20,24.79
267,2023-04-08 10:56:46,Lixa,Pintura,18,3.89
268,2023-02-14 05:10:19,Rolo,Pintura,18,14.89
269,2023-09-29 22:09:43,Máscara,Segurança,11,9.89
270,2023-01-29 12:49:32,Disjuntor,Elétricos,47,34.99
271,2023-03-12 09:19:07,Silicone,Fixação,20,11.89
272,2023-03-13 09:36:08,Fita Crepe,Fixação,29,2.95
273,2023-07-16 23:04:27,Telha,Construção,22,9.95
274,2023-11-02 12:42:38,Tomada,Elétricos,13,3.99
275,2023-06-18 16:08:44,Rolo,Pintura,26,14.89
276,2023-08-14 16:07:33,Grama m2,Jardinagem,40,14.95
277,2023-07-29 07:22:59,Areia,Construção,31,49.79
278,2023-08-21 16:14:53,Furadeira,Ferramentas Elétricas,38,149.49
279,2023-02-03 19:48:44,Cola,Fixação,9,5.89
280,2023-10-29 01:16:26,Alicate,Ferramentas Manuais,10,19.79
281,2023-12-23 02:20:17,Corda,Segurança,19,59.59
282,2023-11-15 00:50:03,Martelo,Ferramentas Manuais,33,24.89
283,2023-11-21 02:31:03,Rolo,Pintura,41,14.89
284,2023-03-18 23:28:00,Caixa de Passagem,Elétricos,13,19.79
285,2023-01-06 00:28:56,Luminária,Elétricos,33,49.59
286,2023-11-27 14:39:06,Puxador,Ferragens,39,11.89
287,2023-05-01 00:49:47,Rastelo,Jardinagem,17,34.49
288,2023-01-03 20:09:19,Caixa de Passagem,Elétricos,38,19.79
289,2023-01-08 23:32:16,Colete,Segurança,43,89.99
290,2023-04-06 17:15:14,Tinta Latex,Pintura,6,59.89
291,2023-07-14 19:21:49,Tubo Cobre,Hidráulicos,48,24.95
292,2023-11-10 12:59:04,Grama m2,Jardinagem,49,14.95
293,2023-08-19 06:39:56,Gancho,Segurança,41,14.89
294,2023-01-12 08:46:45,Martelo,Ferramentas Manuais,8,24.89
295,2023-03-13 15:40:02,Conexão,Hidráulicos,5,4.89
296,2023-02-28 07:52:51,Rolo,Pintura,21,14.89
297,2023-12-31 12:03:44,Luva,Segurança,32,7.89
298,2023-10-18 23:27:33,Tubo Cobre,Hidráulicos,10,24.95
299,2023-07-01 03:52:37,Escada,Segurança,3,199.49
300,2023-10-10 06:46:51,Martelo,Ferramentas Manuais,2,24.89
301,2023-06-18 20:15:32,Verniz,Pintura,41,24.79
302,2023-10-08 00:57:56,Fita Dupla Face,Fixação,45,4.39
303,2023-08-05 02:23:46,Semente,Jardinagem,25,9.95
304,2023-11-03 00:57:47,Tinta Latex,Pintura,44,59.89
305,2023-11-20 16:37:45,Torneira,Hidráulicos,48,34.89
306,2023-10-13 17:05:03,Torneira,Hidráulicos,29,34.89
